titulo,descricao,categoria,prioridade
"Notebook não liga","Tenho uma apresentação para cliente em 30 minutos e o notebook não liga de jeito nenhum.",Software,media
"Meu computador começou a esquentar demais","Absolutamente do nada meu computador começou a esquentar e dar tela azul, poderiam vim ver",Hardware,alta
"Notebook não liga","Tenho uma apresentação para cliente em 30 minutos e o notebook não liga de jeito nenhum.",Hardware,alta
"Notebook não liga","Tenho uma apresentação para cliente em 30 minutos e o notebook não liga de jeito nenhum.",Hardware,alta
"Notebook não liga","Tenho uma apresentação para cliente em 30 minutos e o notebook não liga de jeito nenhum.",Hardware,alta
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Preciso de ajuda","Isso aqui não está funcionando direito.",Acesso,baixa
"Notebook não liga","Tenho uma apresentação em 30 minutos e o notebook não liga de jeito nenhum.",Acesso,baixa
"Notebook não liga","Tenho uma apresentação em 30 minutos e o notebook não liga de jeito nenhum.",Hardware,alta
"Meu roteador interno não está rodando","Na parte da manhã quando liguei meu computador meu roteador do computador não funcionou",Rede,alta
