titulo,descricao,categoria,prioridade
A cadeira da minha estação urgente,Alguém pode olhar isso? A porta da entrada está com vazamento e alagando o corredor.,Manutenção,alta
O monitor da minha mesa com problema,A estação de trabalho a bateria não dura mais como antes.,Hardware,media
Meu contracheque pequeno ajuste,Preciso de ajuda. Meu atestado gostaria de agendar minhas férias para o próximo trimestre.,RH,baixa
A estação de trabalho apresentando falha,Preciso de ajuda. O mouse a bateria não dura mais como antes.,Hardware,media
O vaso sanitário do banheiro com problema,"Por favor, verifiquem. O elevador está fazendo um barulho estranho há dois dias.",Manutenção,media
A rede cabeada urgente,Alguém pode olhar isso? A rede interna está fora do ar há mais de uma hora.,Rede,alta
Meu crachá de acesso instável,"Por favor, verifiquem. Meu e-mail corporativo não consigo acessar uma pasta específica que preciso.",Acesso,media
A lâmpada da minha mesa não funciona,Alguém pode olhar isso? O ar-condicionado da sala parou de funcionar e está fazendo muito calor na sala toda.,Manutenção,alta
O teclado urgente,O monitor da minha mesa está fazendo um barulho estranho e desligando sozinho.,Hardware,alta
Meu plano de saúde apresentando falha,Meu holerite preciso entender uma cobrança que apareceu.,RH,media
A rede cabeada quando possível,"Alguém pode olhar isso? A rede interna o sinal chega fraco no fundo da sala, gostaria de melhorar.",Rede,baixa
O antivírus parou de funcionar,Alguém pode olhar isso? O sistema de rh não consigo emitir nenhuma nota fiscal desde hoje cedo.,Software,alta
Minhas férias parou de funcionar,Alguém pode olhar isso? Minhas férias preciso da segunda via urgente para 30 minutos.,RH,alta
Meu login instável,Preciso de ajuda. Meu acesso ao servidor não consigo acessar uma pasta específica que preciso.,Acesso,media
A webcam sugestão,"Preciso de ajuda. Meu computador está com um risco na tela, só estética mesmo.",Hardware,baixa
O sistema financeiro parou de funcionar,"Por favor, verifiquem. O sistema de ponto trava a tela toda vez que abro o relatório.",Software,alta
Meu crachá de acesso sugestão,Preciso de ajuda. Meu e-mail corporativo gostaria de solicitar acesso a mais uma pasta compartilhada.,Acesso,baixa
O nobreak parou de funcionar,"Por favor, verifiquem. O monitor da minha mesa quebrou completamente e não consigo trabalhar.",Hardware,alta
Meu usuário urgente,"Meu e-mail corporativo não consigo entrar de jeito nenhum, já tentei recuperar a senha três vezes.",Acesso,alta
O excel com problema,"Por favor, verifiquem. O teams de vez em quando fecha sozinho sem aviso.",Software,media
O teclado parou de funcionar,O hd externo quebrou completamente e não consigo trabalhar.,Hardware,alta
O elevador com problema,"Por favor, verifiquem. A torneira da copa está fazendo um barulho estranho há dois dias.",Manutenção,media
O sistema de ponto não funciona,O antivírus não consigo emitir nenhuma nota fiscal desde hoje cedo.,Software,alta
O teclado pequeno ajuste,Preciso de ajuda. A webcam gostaria de um mouse sem fio para substituir o com fio.,Hardware,baixa
Meu plano de saúde sugestão,"Alguém pode olhar isso? Meu benefício gostaria da segunda via, mas sem pressa.",RH,baixa
O headset instável,O teclado às vezes trava e precisa reiniciar.,Hardware,media
Minhas férias com problema,"Por favor, verifiquem. Meu vale-transporte preciso entender uma cobrança que apareceu.",RH,media
Minha conta não funciona,"Por favor, verifiquem. Meu usuário foi bloqueado e preciso urgente para uma entrega em 1 hora.",Acesso,alta
